receipt_id,difficulty,category,raw_cer,raw_conf,raw_merchant_ok,raw_date_ok,raw_subtotal_ok,raw_tax_ok,raw_total_ok,raw_item_recall,raw_time_s,grayscale_cer,grayscale_conf,grayscale_merchant_ok,grayscale_date_ok,grayscale_subtotal_ok,grayscale_tax_ok,grayscale_total_ok,grayscale_item_recall,grayscale_time_s,pipeline_cer,pipeline_conf,pipeline_merchant_ok,pipeline_date_ok,pipeline_subtotal_ok,pipeline_tax_ok,pipeline_total_ok,pipeline_item_recall,pipeline_time_s
R0032_O3O0,hard,pharmacy,0.7821782178217822,39.52542372881356,False,False,False,False,True,0.75,2.384185791015625e-07,0.8663366336633663,37.34375,False,False,False,False,True,0.5,0.0004286766052246,0.2475247524752475,81.32432432432432,True,False,True,False,True,1.0,0.132659912109375
R0033_MUHX,medium,cafe,0.1243243243243243,77.76470588235294,True,False,True,True,True,0.5,4.76837158203125e-07,0.1189189189189189,79.11764705882354,True,True,True,True,True,0.5,0.0004258155822753,0.1081081081081081,81.94117647058823,True,False,True,True,True,1.0,0.148691177368164
R0034_DTNQ,easy,cafe,0.1309523809523809,85.6,True,True,True,True,False,0.75,2.384185791015625e-07,0.1071428571428571,86.06666666666666,True,True,True,True,True,1.0,0.0004138946533203,0.1309523809523809,83.25806451612904,True,True,True,True,False,0.75,0.1263105869293213
R0035_VAKH,medium,cafe,0.1428571428571428,86.54838709677419,True,True,True,True,True,1.0,4.76837158203125e-07,0.1371428571428571,84.93548387096774,True,True,True,True,True,1.0,0.0004103183746337,0.16,83.74193548387096,True,True,True,False,True,1.0,0.1229064464569091
R0036_2W37,medium,grocery,0.2091503267973856,76.92592592592592,True,False,True,False,True,0.5,2.384185791015625e-07,0.2287581699346405,78.5925925925926,True,False,True,False,True,0.5,0.0003771781921386,0.2091503267973856,77.22222222222223,True,False,True,False,True,0.5,0.1070804595947265
R0037_3IFH,medium,cafe,0.2032085561497326,85.84210526315789,True,False,True,True,True,0.6666666666666666,7.152557373046875e-07,0.2085561497326203,84.55263157894737,True,False,True,True,True,0.6666666666666666,0.0004208087921142,0.213903743315508,82.21052631578948,True,False,True,True,True,0.6666666666666666,0.1182122230529785
R0038_QC3C,hard,grocery,0.7952380952380952,37.83018867924528,False,True,False,False,False,0.2,4.76837158203125e-07,0.6857142857142857,43.325,False,False,False,False,False,0.2,0.0005140304565429,0.1761904761904762,76.92105263157895,True,False,True,True,True,1.0,0.1262462139129638
R0039_BWML,easy,electronics,0.182741116751269,80.27027027027027,True,True,True,True,True,0.75,2.384185791015625e-07,0.1573604060913705,86.63636363636364,True,True,True,False,True,0.75,0.0004847049713134,0.1218274111675127,89.32352941176471,True,True,True,True,True,1.0,0.1450910568237304
R0040_8RIE,medium,grocery,0.3040935672514619,69.48148148148148,False,True,False,False,False,0.0,2.384185791015625e-07,0.2923976608187134,66.03703703703704,True,False,False,False,False,0.0,0.0003890991210937,0.1228070175438596,84.92857142857143,True,True,True,True,True,1.0,0.1109092235565185
R0041_Z8V1,easy,electronics,0.1336032388663967,85.22727272727273,True,True,True,True,True,1.0,2.384185791015625e-07,0.1295546558704453,85.86363636363636,True,True,True,True,True,1.0,0.0005316734313964,0.1295546558704453,86.22727272727273,True,True,True,True,True,1.0,0.1440451145172119
R0042_FP8H,hard,electronics,1.2597402597402598,31.92537313432836,False,False,False,True,True,1.0,4.76837158203125e-07,0.9675324675324676,42.61818181818182,False,False,True,True,True,1.0,0.0003831386566162,0.1558441558441558,79.18518518518519,True,False,True,True,True,1.0,0.1150426864624023
R0043_W6AH,hard,cafe,0.1944444444444444,87.23076923076923,True,True,True,False,True,1.0,7.152557373046875e-07,0.2013888888888889,86.65384615384616,True,True,True,False,True,1.0,0.0004870891571044,0.2222222222222222,84.70370370370371,True,True,False,False,True,1.0,0.1131374835968017
R0044_UGYS,medium,pharmacy,0.204,75.81818181818181,True,True,True,True,True,1.0,4.76837158203125e-07,0.224,73.68181818181819,True,False,True,True,True,1.0,0.0004646778106689,0.16,86.37209302325581,True,False,True,True,True,1.0,0.1261639595031738
R0045_LO3R,medium,grocery,0.2364532019704433,72.83333333333333,True,True,False,False,True,0.25,4.76837158203125e-07,0.3152709359605911,68.97142857142858,True,True,False,False,True,0.0,0.0004818439483642,0.1182266009852216,79.57894736842105,True,True,True,True,True,1.0,0.1293540000915527
R0046_CXLV,hard,electronics,0.9553903345724908,25.0,False,False,False,False,False,0.2857142857142857,4.76837158203125e-07,0.8178438661710037,23.61111111111111,False,False,False,False,False,0.0,0.0005123615264892,0.1412639405204461,84.04444444444445,True,True,True,True,True,0.7142857142857143,0.1576628684997558
R0047_XIE0,medium,electronics,0.1478260869565217,78.0,True,True,False,True,True,1.0,4.76837158203125e-07,0.1434782608695652,77.92682926829268,True,True,False,True,True,1.0,0.0004980564117431,0.1521739130434782,79.36585365853658,True,False,False,True,True,1.0,0.1452646255493164
R0048_EHE2,easy,grocery,0.1155378486055776,83.33333333333333,True,True,True,True,True,0.8333333333333334,4.76837158203125e-07,0.1075697211155378,84.71111111111111,True,True,True,True,True,0.8333333333333334,0.0004525184631347,0.1035856573705179,85.57777777777778,True,True,True,True,True,1.0,0.1460647583007812
R0049_KF7I,hard,pharmacy,0.3534883720930232,42.23076923076923,False,False,False,True,False,0.0,4.76837158203125e-07,0.3953488372093023,46.5,False,False,False,False,True,0.25,0.0004589557647705,0.2,75.91891891891892,True,False,False,True,True,1.0,0.1240122318267822
R0050_OXRW,easy,pharmacy,0.0994764397905759,84.0625,True,True,True,True,True,1.0,4.76837158203125e-07,0.094240837696335,83.21875,True,True,True,True,True,1.0,0.0004816055297851,0.1047120418848167,81.5625,True,True,True,True,True,1.0,0.1328744888305664
R0051_DKNW,medium,cafe,0.1917098445595854,86.08108108108108,True,True,True,True,True,0.75,4.76837158203125e-07,0.1968911917098445,86.02702702702703,True,True,True,True,True,0.75,0.0004603862762451,0.1865284974093264,85.94594594594595,True,True,True,True,True,0.75,0.1280877590179443
R0052_DEJN,hard,electronics,0.7378048780487805,40.12765957446808,False,False,True,True,True,0.5,7.152557373046875e-07,1.0975609756097562,32.733333333333334,False,False,False,False,True,0.5,0.0004229545593261,0.2012195121951219,77.37931034482759,True,False,False,True,True,1.0,0.1260352134704589
R0053_FVOB,medium,grocery,0.1707317073170731,73.52830188679245,True,True,False,True,True,0.7142857142857143,4.76837158203125e-07,0.1777003484320557,70.73584905660377,True,True,True,True,True,0.7142857142857143,0.0005638599395751,0.1428571428571428,80.0377358490566,True,True,True,True,True,0.7142857142857143,0.1502912044525146
R0054_8UIB,medium,electronics,0.2137096774193548,78.5,True,False,False,True,False,1.0,7.152557373046875e-07,0.2016129032258064,82.43181818181819,True,False,False,True,False,1.0,0.0005459785461425,0.1612903225806451,86.81395348837209,True,False,False,True,True,1.0,0.1506755352020263
R0055_Y2JR,hard,cafe,0.7532467532467533,43.18333333333333,False,False,False,False,False,0.1666666666666666,4.76837158203125e-07,0.6277056277056277,52.3015873015873,False,False,False,False,True,0.5,0.0004785060882568,0.1904761904761904,80.18181818181819,True,False,True,True,True,0.5,0.1381387710571289
R0056_EWVI,hard,cafe,0.4774193548387097,60.8421052631579,False,False,False,True,True,1.0,4.76837158203125e-07,0.6129032258064516,43.78048780487805,False,True,False,True,False,1.0,0.0004253387451171,0.2580645161290322,83.72413793103448,True,False,True,False,True,0.5,0.1167898178100586
R0057_UT07,easy,cafe,0.1479289940828402,89.41935483870968,True,True,True,True,True,0.6666666666666666,4.76837158203125e-07,0.1538461538461538,89.16129032258064,True,True,True,True,True,0.6666666666666666,0.00042724609375,0.1597633136094674,89.09677419354838,True,True,True,True,True,1.0,0.1264193058013916
R0058_FQJG,hard,pharmacy,0.7330677290836654,34.86842105263158,False,False,False,True,False,0.3333333333333333,7.152557373046875e-07,0.7250996015936255,30.104477611940297,False,False,False,False,False,0.5,0.0004792213439941,0.1195219123505976,75.51162790697674,True,True,True,True,True,0.6666666666666666,0.160365343093872
R0059_51YW,easy,pharmacy,0.1356589147286821,75.08333333333333,True,True,False,True,True,1.0,7.152557373046875e-07,0.1356589147286821,78.04166666666667,True,True,True,True,True,1.0,0.0005087852478027,0.1821705426356589,76.9245283018868,False,True,True,True,True,1.0,0.1417467594146728
R0060_EHUD,hard,electronics,0.7929515418502202,44.61971830985915,False,False,False,False,False,0.4,4.76837158203125e-07,0.933920704845815,40.19277108433735,False,True,True,False,False,0.6,0.0005674362182617,0.2863436123348017,66.0754716981132,False,True,True,True,True,0.6,0.1850464344024658
R0061_XP9N,easy,electronics,0.20625,82.03448275862068,True,True,True,True,True,1.0,9.5367431640625e-07,0.20625,86.10344827586206,True,True,True,True,True,1.0,0.0003900527954101,0.20625,86.6896551724138,True,True,True,True,True,1.0,0.1190330982208252
R0062_G51B,medium,electronics,0.3051948051948052,68.15384615384616,True,True,False,False,True,0.0,2.384185791015625e-07,0.2987012987012987,73.84,True,True,False,False,True,0.0,0.0004124641418457,0.1493506493506493,84.76923076923077,True,True,True,False,True,1.0,0.1244778633117675
R0063_UU13,medium,cafe,0.348993288590604,77.67857142857143,True,False,False,False,True,0.3333333333333333,4.76837158203125e-07,0.3288590604026846,78.06896551724138,True,False,False,False,False,0.6666666666666666,0.000422716140747,0.2416107382550335,86.93103448275862,True,False,True,True,True,1.0,0.1362128257751464
R0064_II4F,medium,electronics,0.1659919028340081,77.71428571428571,True,False,True,True,True,1.0,7.152557373046875e-07,0.1740890688259109,77.80952380952381,True,False,True,True,True,1.0,0.0006015300750732,0.1336032388663967,80.69047619047619,True,True,True,True,True,1.0,0.137941837310791
R0065_0016,hard,cafe,0.1893491124260355,80.09375,False,False,True,False,True,0.6666666666666666,2.384185791015625e-07,0.301775147928994,74.8529411764706,False,False,False,False,False,0.0,0.0005254745483398,0.1538461538461538,85.26666666666667,True,False,True,True,True,0.6666666666666666,0.1226522922515869
R0066_VZKH,easy,cafe,0.0772532188841201,84.35714285714286,True,True,True,True,True,1.0,4.76837158203125e-07,0.0772532188841201,84.9047619047619,True,True,True,True,True,1.0,0.0005102157592773,0.0944206008583691,83.6046511627907,True,True,True,True,True,1.0,0.1539156436920166
R0067_YWRR,hard,grocery,0.3716216216216216,58.19230769230769,True,True,False,False,False,0.0,9.5367431640625e-07,0.3783783783783784,54.84,True,False,False,False,False,0.0,0.0004541873931884,0.1621621621621621,81.57692307692308,True,False,True,False,True,1.0,0.1140303611755371
R0068_QIZK,hard,grocery,1.1875,27.82258064516129,False,False,False,False,False,0.0,7.152557373046875e-07,0.85,28.72,False,False,True,False,False,0.0,0.000474214553833,0.18125,81.55172413793103,True,False,True,True,True,1.0,0.1148393154144287
R0069_YUJ7,hard,pharmacy,0.444,47.55357142857143,False,False,True,False,False,0.6666666666666666,4.76837158203125e-07,0.636,44.25352112676056,False,False,False,False,False,0.6666666666666666,0.0005548000335693,0.16,75.75555555555556,True,True,True,True,True,1.0,0.1388638019561767
R0070_W2QI,easy,electronics,0.1853932584269663,86.75757575757575,True,True,True,True,True,1.0,7.152557373046875e-07,0.196629213483146,87.78787878787878,True,True,True,False,True,1.0,0.0003712177276611,0.196629213483146,86.32352941176471,True,True,True,True,True,1.0,0.1109745502471923
R0071_TOAM,easy,grocery,0.1142857142857142,83.5,True,True,True,False,True,1.0,2.384185791015625e-07,0.0952380952380952,86.02631578947368,True,True,True,True,True,1.0,0.0004210472106933,0.1,82.15789473684211,True,True,True,True,True,1.0,0.1330065727233886
R0072_DK8L,medium,electronics,0.5253456221198156,49.38775510204081,True,False,False,False,False,0.4,2.384185791015625e-07,0.5529953917050692,52.54,True,False,False,True,True,0.4,0.0005226135253906,0.216589861751152,82.3,True,False,True,True,True,0.6,0.136319875717163
R0073_ZPKY,hard,electronics,0.8608695652173913,40.59701492537314,False,False,False,False,False,0.4,7.152557373046875e-07,0.7956521739130434,40.20338983050848,False,True,False,False,False,0.4,0.0004489421844482,0.1304347826086956,80.51282051282051,True,False,True,False,True,0.8,0.1289796829223632
R0074_2DDH,medium,cafe,0.1560693641618497,83.81818181818181,True,False,True,True,True,0.75,4.76837158203125e-07,0.1445086705202312,84.18181818181819,True,False,True,True,True,0.75,0.0004374980926513,0.1271676300578034,85.28125,True,True,True,True,True,0.75,0.1348283290863037
R0075_CBZA,medium,pharmacy,0.1566265060240964,76.22222222222223,True,True,False,True,True,1.0,2.384185791015625e-07,0.1566265060240964,77.37037037037037,True,True,False,True,True,1.0,0.0004184246063232,0.1867469879518072,79.55555555555556,True,True,False,True,True,0.0,0.1268949508666992
R0076_AHKZ,medium,grocery,0.2073170731707317,75.6875,True,False,True,True,True,1.0,2.384185791015625e-07,0.1991869918699187,75.9375,True,True,True,True,True,1.0,0.0004618167877197,0.1463414634146341,80.63829787234043,True,True,True,True,True,1.0,0.1279480457305908
R0077_NGWY,medium,cafe,0.3962264150943396,58.91666666666666,True,False,False,False,False,0.2,2.384185791015625e-07,0.3679245283018867,62.833333333333336,True,False,False,False,False,0.6,0.0012426376342773,0.1179245283018868,82.47368421052632,True,False,True,True,True,1.0,0.1353628635406494
R0078_2U1R,easy,grocery,0.1014492753623188,85.4054054054054,True,True,True,True,True,1.0,4.76837158203125e-07,0.0869565217391304,84.75675675675676,True,True,True,True,True,1.0,0.0004575252532958,0.0966183574879227,83.45945945945945,True,False,True,True,True,1.0,0.1304359436035156
R0079_HHCM,hard,pharmacy,0.4426229508196721,60.79661016949152,False,False,True,True,True,1.0,2.384185791015625e-07,0.3565573770491803,62.32142857142857,False,True,True,True,True,1.0,0.0005190372467041,0.180327868852459,80.74418604651163,True,True,True,True,True,1.0,0.128535509109497
R0080_1O0Z,hard,pharmacy,0.2058823529411764,70.9047619047619,True,True,True,True,True,0.8,2.384185791015625e-07,0.1974789915966386,72.42857142857143,True,True,True,False,True,1.0,0.0004637241363525,0.1722689075630252,79.30952380952381,True,True,True,True,True,0.8,0.1290075778961181
R0081_8HYE,easy,pharmacy,0.0878048780487804,84.70588235294117,True,True,True,True,True,1.0,4.76837158203125e-07,0.0975609756097561,87.20588235294117,True,True,True,True,True,1.0,0.0004258155822753,0.0926829268292682,88.05882352941177,True,True,True,True,True,1.0,0.1204793453216552
R0082_PECN,hard,grocery,1.0,32.675324675324674,False,False,False,False,True,0.75,2.384185791015625e-07,0.8436018957345972,34.75757575757576,False,False,False,False,True,0.5,0.0004823207855224,0.3601895734597156,65.43137254901961,False,True,True,True,True,0.75,0.1688170433044433
R0083_2IXI,easy,pharmacy,0.1987951807228915,86.43333333333334,True,True,True,True,True,1.0,2.384185791015625e-07,0.2048192771084337,84.5,True,True,True,True,True,1.0,0.0003554821014404,0.2108433734939759,85.16666666666667,True,True,True,True,True,1.0,0.1046640872955322
R0084_E4UN,hard,cafe,1.1407407407407408,29.80701754385965,False,False,True,False,True,1.0,2.384185791015625e-07,0.9703703703703704,28.173076923076923,False,False,False,False,True,1.0,0.0003852844238281,0.2814814814814815,87.84,True,False,True,False,True,1.0,0.1325216293334961
R0085_79FL,hard,grocery,0.7193675889328063,40.688311688311686,False,True,True,False,False,0.5714285714285714,2.384185791015625e-07,0.8023715415019763,40.550561797752806,False,False,True,True,True,0.5714285714285714,0.0004603862762451,0.1422924901185771,78.5,True,False,True,True,True,0.8571428571428571,0.1579823493957519
R0086_B4GF,easy,grocery,0.0994475138121546,86.18181818181819,True,True,True,True,True,1.0,7.152557373046875e-07,0.1049723756906077,88.18181818181819,True,True,True,True,True,1.0,0.0003888607025146,0.0994475138121546,86.66666666666667,True,True,True,True,True,1.0,0.1208887100219726
R0087_BISB,medium,electronics,0.0991379310344827,82.8,True,True,False,True,True,1.0,7.152557373046875e-07,0.0991379310344827,84.8,True,True,False,True,True,1.0,0.0004427433013916,0.0948275862068965,83.0,True,True,False,True,True,1.0,0.1271843910217285
R0088_X40D,hard,cafe,0.4141414141414141,60.61764705882353,True,True,False,False,False,0.2,4.76837158203125e-07,0.4494949494949495,57.21875,True,True,False,False,False,0.4,0.0004832744598388,0.1262626262626262,84.88235294117646,True,False,False,True,True,0.8,0.1344447135925293
R0089_CH2V,hard,cafe,0.6724137931034483,47.79245283018868,False,False,True,False,True,0.3333333333333333,4.76837158203125e-07,0.8735632183908046,39.05172413793103,False,False,False,False,True,0.0,0.0004799365997314,0.1206896551724138,84.96875,True,True,True,True,True,1.0,0.13535737991333
R0090_8OBK,hard,cafe,0.7934272300469484,39.23880597014925,False,False,False,False,False,0.4,4.76837158203125e-07,1.2769953051643192,27.848101265822784,False,False,False,False,False,0.4,0.0004849433898925,0.1830985915492957,85.35,True,True,True,False,True,0.8,0.1472320556640625
R0091_GU3O,medium,grocery,0.1615384615384615,77.79591836734694,True,False,True,True,True,1.0,2.384185791015625e-07,0.1615384615384615,77.87755102040816,True,False,True,True,True,1.0,0.0004701614379882,0.1692307692307692,79.26530612244898,True,False,True,True,True,1.0,0.1427936553955078
R0092_LH62,medium,grocery,0.1704035874439461,73.48780487804878,True,True,True,False,True,0.8333333333333334,4.76837158203125e-07,0.1659192825112107,70.92682926829268,True,True,True,False,True,1.0,0.000556468963623,0.1345291479820627,84.48780487804878,True,False,False,True,True,0.8333333333333334,0.1566095352172851
R0093_BCVA,hard,electronics,0.424390243902439,61.53061224489796,False,False,False,False,True,0.75,4.76837158203125e-07,0.4341463414634146,60.18367346938776,False,False,False,False,True,0.75,0.0005109310150146,0.2146341463414634,84.8108108108108,True,True,False,False,True,1.0,0.1290061473846435
R0094_XG8Y,hard,pharmacy,0.2925170068027211,56.3,False,False,True,True,True,0.7142857142857143,4.76837158203125e-07,0.3197278911564626,52.37878787878788,False,False,True,True,True,1.0,0.0005202293395996,0.1258503401360544,72.66666666666667,True,False,True,True,True,0.7142857142857143,0.1478779315948486
R0095_BPPF,medium,electronics,0.3888888888888889,67.48648648648648,True,False,False,True,False,0.6,4.76837158203125e-07,0.2129629629629629,79.2051282051282,True,True,True,True,True,1.0,0.0004274845123291,0.1759259259259259,85.33333333333333,True,True,True,True,True,1.0,0.127885103225708
